date,home_team,away_team,team,scorer,minute,own_goal,penalty
1984-04-08,England,Denmark,England,Linda Curl,31,FALSE,FALSE
1984-04-08,England,Denmark,Denmark,Inge Hindkjær,49,FALSE,TRUE
1984-04-08,England,Denmark,England,Elisabeth Deighan,51,FALSE,FALSE
1984-04-08,Italy,Sweden,Italy,Carolina Morace,18,FALSE,FALSE
1984-04-08,Italy,Sweden,Sweden,Helen Johansson,23,FALSE,FALSE
1984-04-08,Italy,Sweden,Italy,Elisabetta Vignotto,31,FALSE,FALSE
1984-04-08,Italy,Sweden,Sweden,Pia Sundhage,48,FALSE,FALSE
1984-04-08,Italy,Sweden,Sweden,Doris Uusitalo,57,FALSE,FALSE
1984-04-28,Denmark,England,England,Debbie Bampton,44,FALSE,FALSE
1984-04-28,Sweden,Italy,Sweden,Pia Sundhage,28,FALSE,FALSE
1984-04-28,Sweden,Italy,Italy,Carolina Morace,50,FALSE,FALSE
1984-04-28,Sweden,Italy,Sweden,Pia Sundhage,52,FALSE,FALSE
1984-05-12,Sweden,England,Sweden,Pia Sundhage,57,FALSE,FALSE
1984-05-27,England,Sweden,England,Linda Curl,31,FALSE,FALSE
1987-06-11,Norway,Italy,Norway,Trude Stendal,40,FALSE,FALSE
1987-06-11,Norway,Italy,Norway,Heidi Støre,73,FALSE,FALSE
1987-06-11,Sweden,England,Sweden,Anette Börjesson,32,FALSE,FALSE
1987-06-11,Sweden,England,England,Jackie Sherrard,35,FALSE,FALSE
1987-06-11,Sweden,England,England,Kerry Davis,43,FALSE,FALSE
1987-06-11,Sweden,England,Sweden,Gunilla Axén,50,FALSE,FALSE
1987-06-11,Sweden,England,Sweden,Gunilla Axén,100,FALSE,FALSE
1987-06-13,Italy,England,England,Kerry Davis,4,FALSE,TRUE
1987-06-13,Italy,England,Italy,Carolina Morace,36,FALSE,FALSE
1987-06-13,Italy,England,Italy,Elisabetta Vignotto,50,FALSE,FALSE
1987-06-14,Norway,Sweden,Norway,Trude Stendal,28,FALSE,FALSE
1987-06-14,Norway,Sweden,Norway,Trude Stendal,72,FALSE,FALSE
1987-06-14,Norway,Sweden,Sweden,Lena Videkull,73,FALSE,FALSE
1989-06-28,Germany,Italy,Germany,Silvia Neid,57,FALSE,FALSE
1989-06-28,Germany,Italy,Italy,Elisabetta Vignotto,72,FALSE,FALSE
1989-06-28,Sweden,Norway,Norway,Linda Medalen,1,FALSE,FALSE
1989-06-28,Sweden,Norway,Norway,Sissel Grude,52,FALSE,FALSE
1989-06-28,Sweden,Norway,Sweden,Lena Videkull,54,FALSE,FALSE
1989-06-30,Sweden,Italy,Italy,Feriana Ferraguzzi,28,FALSE,FALSE
1989-06-30,Sweden,Italy,Sweden,Pia Sundhage,43,FALSE,FALSE
1989-06-30,Sweden,Italy,Sweden,Helen Johansson,94,FALSE,FALSE
1989-07-02,Germany,Norway,Germany,Ursula Lohn,22,FALSE,FALSE
1989-07-02,Germany,Norway,Germany,Ursula Lohn,36,FALSE,FALSE
1989-07-02,Germany,Norway,Germany,Heidi Mohr,45,FALSE,FALSE
1989-07-02,Germany,Norway,Norway,Sissel Grude,54,FALSE,FALSE
1989-07-02,Germany,Norway,Germany,Angelika Fehrmann,73,FALSE,FALSE
1991-07-11,Germany,Italy,Germany,Heidi Mohr,30,FALSE,FALSE
1991-07-11,Germany,Italy,Germany,Heidi Mohr,58,FALSE,FALSE
1991-07-11,Germany,Italy,Germany,Sissy Raith,60,FALSE,FALSE
1991-07-14,Denmark,Italy,Denmark,Helle Jensen,22,FALSE,FALSE
1991-07-14,Denmark,Italy,Italy,Silvia Fiorini,68,FALSE,FALSE
1991-07-14,Denmark,Italy,Denmark,Maura Furlotti,85,TRUE,FALSE
1991-07-14,Germany,Norway,Norway,Birthe Hegstad,54,FALSE,FALSE
1991-07-14,Germany,Norway,Germany,Heidi Mohr,62,FALSE,FALSE
1991-07-14,Germany,Norway,Germany,Heidi Mohr,100,FALSE,FALSE
1991-07-14,Germany,Norway,Germany,Silvia Neid,110,FALSE,FALSE
1991-11-16,China PR,Norway,China PR,Ma Li,22,FALSE,FALSE
1991-11-16,China PR,Norway,China PR,Liu Ailing,45,FALSE,FALSE
1991-11-16,China PR,Norway,China PR,Liu Ailing,50,FALSE,FALSE
1991-11-16,China PR,Norway,China PR,Sun Qingmei,75,FALSE,FALSE
1991-11-17,Denmark,New Zealand,Denmark,Helle Jensen,15,FALSE,FALSE
1991-11-17,Denmark,New Zealand,Denmark,Helle Jensen,40,FALSE,FALSE
1991-11-17,Denmark,New Zealand,Denmark,Susan Mackensie,42,FALSE,FALSE
1991-11-17,Germany,Nigeria,Germany,Silvia Neid,16,FALSE,FALSE
1991-11-17,Germany,Nigeria,Germany,Heidi Mohr,32,FALSE,FALSE
1991-11-17,Germany,Nigeria,Germany,Heidi Mohr,34,FALSE,FALSE
1991-11-17,Germany,Nigeria,Germany,Gudrun Gottschlich,57,FALSE,FALSE
1991-11-17,Japan,Brazil,Brazil,Elane Rego dos Santos,4,FALSE,FALSE
1991-11-17,Sweden,United States,United States,Carin Jennings-Gabarra,40,FALSE,FALSE
1991-11-17,Sweden,United States,United States,Carin Jennings-Gabarra,49,FALSE,FALSE
1991-11-17,Sweden,United States,United States,Mia Hamm,62,FALSE,FALSE
1991-11-17,Sweden,United States,Sweden,Lena Videkull,65,FALSE,FALSE
1991-11-17,Sweden,United States,Sweden,Ingrid Johansson,71,FALSE,FALSE
1991-11-17,Taiwan,Italy,Italy,Feriana Ferraguzzi,15,FALSE,FALSE
1991-11-17,Taiwan,Italy,Italy,Adele Marsiletti,29,FALSE,FALSE
1991-11-17,Taiwan,Italy,Italy,Carolina Morace,37,FALSE,FALSE
1991-11-17,Taiwan,Italy,Italy,Carolina Morace,52,FALSE,FALSE
1991-11-17,Taiwan,Italy,Italy,Carolina Morace,66,FALSE,FALSE
1991-11-19,Brazil,United States,United States,April Heinrichs,23,FALSE,FALSE
1991-11-19,Brazil,United States,United States,April Heinrichs,35,FALSE,FALSE
1991-11-19,Brazil,United States,United States,Carin Jennings-Gabarra,38,FALSE,FALSE
1991-11-19,Brazil,United States,United States,Michelle Akers,39,FALSE,FALSE
1991-11-19,Brazil,United States,United States,Mia Hamm,63,FALSE,FALSE
1991-11-19,China PR,Denmark,Denmark,Lisbet Kolding,24,FALSE,FALSE
1991-11-19,China PR,Denmark,China PR,Sun Wen,37,FALSE,FALSE
1991-11-19,China PR,Denmark,Denmark,Hanne Nissen,55,FALSE,FALSE
1991-11-19,China PR,Denmark,China PR,Wei Haiying,76,FALSE,FALSE
1991-11-19,Italy,Nigeria,Italy,Carolina Morace,68,FALSE,FALSE
1991-11-19,Japan,Sweden,Sweden,Lena Videkull,1,FALSE,FALSE
1991-11-19,Japan,Sweden,Sweden,Lena Videkull,11,FALSE,FALSE
1991-11-19,Japan,Sweden,Sweden,Anneli Andelén,15,FALSE,FALSE
1991-11-19,Japan,Sweden,Sweden,Malin Lundgren,25,FALSE,FALSE
1991-11-19,Japan,Sweden,Sweden,Helen Nilsson,27,FALSE,FALSE
1991-11-19,Japan,Sweden,Sweden,Pia Sundhage,34,FALSE,FALSE
1991-11-19,Japan,Sweden,Sweden,Anneli Andelén,60,FALSE,FALSE
1991-11-19,Japan,Sweden,Sweden,Sayuri Yamaguchi,70,TRUE,FALSE
1991-11-19,Norway,New Zealand,Norway,Terry McCahill,30,TRUE,FALSE
1991-11-19,Norway,New Zealand,Norway,Linda Medalen,32,FALSE,FALSE
1991-11-19,Norway,New Zealand,Norway,Linda Medalen,38,FALSE,FALSE
1991-11-19,Norway,New Zealand,Norway,Hege Riise,49,FALSE,FALSE
1991-11-19,Taiwan,Germany,Germany,Bettina Wiegmann,10,FALSE,TRUE
1991-11-19,Taiwan,Germany,Germany,Heidi Mohr,21,FALSE,FALSE
1991-11-19,Taiwan,Germany,Germany,Heidi Mohr,50,FALSE,FALSE
1991-11-21,Brazil,Sweden,Sweden,Pia Sundhage,42,FALSE,TRUE
1991-11-21,Brazil,Sweden,Sweden,Susanne Hedberg,56,FALSE,FALSE
1991-11-21,China PR,New Zealand,China PR,Zhou Yang,20,FALSE,FALSE
1991-11-21,China PR,New Zealand,China PR,Liu Ailing,22,FALSE,FALSE
1991-11-21,China PR,New Zealand,China PR,Wu Weiying,24,FALSE,FALSE
1991-11-21,China PR,New Zealand,China PR,Liu Ailing,60,FALSE,FALSE
1991-11-21,China PR,New Zealand,New Zealand,Kim Nye,65,FALSE,FALSE
1991-11-21,Italy,Germany,Germany,Heidi Mohr,67,FALSE,FALSE
1991-11-21,Italy,Germany,Germany,Britta Unsleber,79,FALSE,FALSE
1991-11-21,Japan,United States,United States,Michelle Akers,20,FALSE,FALSE
1991-11-21,Japan,United States,United States,Michelle Akers,37,FALSE,FALSE
1991-11-21,Japan,United States,United States,Wendy Gebauer,39,FALSE,FALSE
1991-11-21,Norway,Denmark,Norway,Tina Svensson,14,FALSE,TRUE
1991-11-21,Norway,Denmark,Denmark,Annette Thychosen,54,FALSE,TRUE
1991-11-21,Norway,Denmark,Norway,Linda Medalen,56,FALSE,FALSE
1991-11-21,Taiwan,Nigeria,Taiwan,Lin Mei-chun,38,FALSE,FALSE
1991-11-21,Taiwan,Nigeria,Taiwan,Chou Tai-ying,55,FALSE,FALSE
1991-11-24,China PR,Sweden,Sweden,Pia Sundhage,3,FALSE,FALSE
1991-11-24,Denmark,Germany,Germany,Bettina Wiegmann,17,FALSE,TRUE
1991-11-24,Denmark,Germany,Denmark,Susan Mackensie,25,FALSE,TRUE
1991-11-24,Denmark,Germany,Germany,Heidi Mohr,98,FALSE,FALSE
1991-11-24,Norway,Italy,Norway,Birthe Hegstad,22,FALSE,FALSE
1991-11-24,Norway,Italy,Italy,Raffaella Salmaso,31,FALSE,FALSE
1991-11-24,Norway,Italy,Norway,Agnete Carlsen,67,FALSE,FALSE
1991-11-24,Norway,Italy,Italy,Rita Guarino,80,FALSE,FALSE
1991-11-24,Norway,Italy,Norway,Tina Svensson,96,FALSE,TRUE
1991-11-24,United States,Taiwan,United States,Michelle Akers,8,FALSE,FALSE
1991-11-24,United States,Taiwan,United States,Michelle Akers,29,FALSE,FALSE
1991-11-24,United States,Taiwan,United States,Michelle Akers,33,FALSE,FALSE
1991-11-24,United States,Taiwan,United States,Julie Foudy,38,FALSE,FALSE
1991-11-24,United States,Taiwan,United States,Michelle Akers,44,FALSE,TRUE
1991-11-24,United States,Taiwan,United States,Michelle Akers,48,FALSE,FALSE
1991-11-24,United States,Taiwan,United States,Joy Fawcett,79,FALSE,FALSE
1991-11-27,Germany,United States,United States,Carin Jennings-Gabarra,10,FALSE,FALSE
1991-11-27,Germany,United States,United States,Carin Jennings-Gabarra,22,FALSE,FALSE
1991-11-27,Germany,United States,United States,Carin Jennings-Gabarra,33,FALSE,FALSE
1991-11-27,Germany,United States,Germany,Heidi Mohr,34,FALSE,FALSE
1991-11-27,Germany,United States,United States,April Heinrichs,54,FALSE,FALSE
1991-11-27,Germany,United States,Germany,Bettina Wiegmann,63,FALSE,FALSE
1991-11-27,Germany,United States,United States,April Heinrichs,75,FALSE,FALSE
1991-11-27,Sweden,Norway,Sweden,Lena Videkull,6,FALSE,FALSE
1991-11-27,Sweden,Norway,Norway,Tina Svensson,39,FALSE,TRUE
1991-11-27,Sweden,Norway,Norway,Linda Medalen,41,FALSE,FALSE
1991-11-27,Sweden,Norway,Norway,Agnete Carlsen,67,FALSE,FALSE
1991-11-27,Sweden,Norway,Norway,Linda Medalen,77,FALSE,FALSE
1991-11-29,Sweden,Germany,Sweden,Anneli Andelén,7,FALSE,FALSE
1991-11-29,Sweden,Germany,Sweden,Pia Sundhage,11,FALSE,FALSE
1991-11-29,Sweden,Germany,Sweden,Lena Videkull,29,FALSE,FALSE
1991-11-29,Sweden,Germany,Sweden,Helen Nilsson,43,FALSE,FALSE
1991-11-30,Norway,United States,United States,Michelle Akers,20,FALSE,FALSE
1991-11-30,Norway,United States,Norway,Linda Medalen,29,FALSE,FALSE
1991-11-30,Norway,United States,United States,Michelle Akers,78,FALSE,FALSE
1993-06-29,Norway,Denmark,Norway,Anne Nymark Andersen,63,FALSE,FALSE
1993-06-30,Italy,Germany,Germany,Heidi Mohr,56,FALSE,FALSE
1993-06-30,Italy,Germany,Italy,Carolina Morace,63,FALSE,FALSE
1993-07-03,Germany,Denmark,Denmark,Susan Mackensie,10,FALSE,FALSE
1993-07-03,Germany,Denmark,Germany,Maren Meinert,31,FALSE,FALSE
1993-07-03,Germany,Denmark,Denmark,Hanne Nissen,35,FALSE,FALSE
1993-07-03,Germany,Denmark,Denmark,Susan Mackensie,42,FALSE,FALSE
1993-07-04,Italy,Norway,Norway,Birthe Hegstad,75,FALSE,FALSE
1994-12-11,England,Germany,England,Karen Farley,7,FALSE,FALSE
